dep,x,y
Ain - Bourg-en-bresse
Aisne - Laon
Allier - Moulins
Alpes-de-Haute-Provence - Digne-les-bains
Hautes-alpes - Gap
Alpes-maritimes - Nice
Ardèche - Privas
Ardennes - Charleville-mézières
Ariège - Foix
Aube - Troyes
Aude - Carcassonne
Aveyron - Rodez
Bouches-du-Rhône - Marseille
Calvados - Caen
Cantal - Aurillac
Charente - Angoulême
Charente-maritime - La rochelle
Cher - Bourges
Corrèze - Tulle
Corse-du-sud - Ajaccio
Haute-Corse - Bastia
Côte-d'Or - Dijon
Côtes-d'Armor - Saint-brieuc
Creuse - Guéret
Dordogne - Périgueux
Doubs - Besançon
Drôme - Valence
Eure - Évreux
Eure-et-loir - Chartres
Finistère - Quimper
Gard - Nîmes
Haute-garonne - Toulouse
Gers - Auch
Gironde - Bordeaux
Hérault - Montpellier
Ille-et-vilaine - Rennes
Indre - Châteauroux
Indre-et-loire - Tours
Isère - Grenoble
Jura - Lons-le-saunier
Landes - Mont-de-marsan
Loir-et-cher - Blois
Loire - Saint-étienne
Haute-loire - Le puy-en-velay
Loire-atlantique - Nantes
Loiret - Orléans
Lot - Cahors
Lot-et-garonne - Agen
Lozère - Mende
Maine-et-loire - Angers
Manche - Saint-lô
Marne - Châlons-en-champagne
Haute-marne - Chaumont
Mayenne - Laval
Meurthe-et-moselle - Nancy
Meuse - Bar-le-duc
Morbihan - Vannes
Moselle - Metz
Nièvre - Nevers
Nord - Lille
Oise - Beauvais
Orne - Alençon
Pas-de-calais - Arras
Puy-de-dôme - Clermont-ferrand
Pyrénées-atlantiques - Pau
Hautes-Pyrénées - Tarbes
Pyrénées-orientales - Perpignan
Bas-rhin - Strasbourg
Haut-rhin - Colmar
Rhône - Lyon
Haute-saône - Vesoul
Saône-et-loire - Mâcon
Sarthe - Le mans
Savoie - Chambéry
Haute-savoie - Annecy
Paris - Paris
Seine-maritime - Rouen
Seine-et-marne - Melun
Yvelines - Versailles
Deux-sèvres - Niort
Somme - Amiens
Tarn - Albi
Tarn-et-Garonne - Montauban
Var - Toulon
Vaucluse - Avignon
Vendée - La roche-sur-yon
Vienne - Poitiers
Haute-vienne - Limoges
Vosges - Épinal
Yonne - Auxerre
Territoire de belfort - Belfort
Essonne - Évry
Hauts-de-seine - Nanterre
Seine-Saint-Denis - Bobigny
Val-de-marne - Créteil
Val-d'Oise - Cergy Pontoise

Alabama,139,-77
Alaska,-204,-170
Arizona,-203,-40
Arkansas,57,-53
California,-297,13
Colorado,-112,20
Connecticut,297,96
Delaware,275,42
Florida,220,-145
Georgia,182,-75
Hawaii,-317,-143
Idaho,-216,122
Illinois,95,37
Indiana,133,39
Iowa,38,65
Kansas,-17,5
Kentucky,149,1
Louisiana,59,-114
Maine,319,164
Maryland,288,27
Massachusetts,312,112
Michigan,148,101
Minnesota,23,135
Mississippi,94,-78
Missouri,49,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-128,-43
New York,236,104
North Carolina,239,-22
North Dakota,-44,158
Ohio,176,52
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,238,72
Rhode Island,318,94
South Carolina,218,-51
South Dakota,-44,109
Tennessee,131,-34
Texas,-38,-106
Utah,-189,34
Vermont,282,154
Virginia,234,12
Washington,-257,193
West Virginia,200,20
Wisconsin,83,113
Wyoming,-134,90
